title,link,views,week_day,day,month,year,hour,minute,second
ساخت جاده در جنگل‌ هیرکانی بابل با نفوذ سیاسی,https://www.iranjib.ir/shownews/139045/ساخت-جاده-در-جنگل‌-هیرکانی-بابل-با-نفوذ-سیاسی/,4054,دوشنبه,26,آبان,1404,8,2,18
ماجرای گم شدن دو دختر در مكانی مشابه,https://www.iranjib.ir/shownews/139044/ماجرای-گم-شدن-دو-دختر-در-مكانی-مشابه/,1706,دوشنبه,26,آبان,1404,7,59,7
قیمت دلار فاز صعودی گرفت,https://www.iranjib.ir/shownews/139043/قیمت-دلار-فاز-صعودی-گرفت/,7919,دوشنبه,26,آبان,1404,7,54,35
سود تأخیر تحویل، حق قانونی خریداران خودرو است,https://www.iranjib.ir/shownews/139042/سود-تأخیر-تحویل،-حق-قانونی-خریداران-خودرو-است/,5120,دوشنبه,26,آبان,1404,7,47,21
6 محور اقتصاد ایران در سال 1405,https://www.iranjib.ir/shownews/139041/6-محور-اقتصاد-ایران-در-سال-1405/,736,دوشنبه,26,آبان,1404,7,40,43
بیانیه فرماندهی سنتکام درباره توقیف نفتکش متخلف توسط ایران,https://www.iranjib.ir/shownews/139040/بیانیه-فرماندهی-سنتکام-درباره-توقیف-نفتکش-متخلف-توسط-ایران/,876,دوشنبه,26,آبان,1404,7,35,27
منشأ «مه‏‏‏‏‏‌دود» شهرهای شمالی,https://www.iranjib.ir/shownews/139039/منشأ-«مه‏‏‏‏‏‌دود»-شهرهای-شمالی/,2588,دوشنبه,26,آبان,1404,7,32,5
سامانه فعلی آخرین موج بارش‌ها خواهد بود,https://www.iranjib.ir/shownews/139038/سامانه-فعلی-آخرین-موج-بارش‌ها-خواهد-بود/,9601,دوشنبه,26,آبان,1404,7,0,39
دو عامل اصلی گرانی گوشت و لبنیات,https://www.iranjib.ir/shownews/139037/دو-عامل-اصلی-گرانی-گوشت-و-لبنیات/,1291,دوشنبه,26,آبان,1404,6,55,20
بیت‌کوین نایاب شد؛ صرافی‌ها وحشت کردند,https://www.iranjib.ir/shownews/139036/بیت‌کوین-نایاب-شد؛-صرافی‌ها-وحشت-کردند/,4123,دوشنبه,26,آبان,1404,6,52,55
اختلاف 41 درصدی قیمت میوه از میدان تا بازار!,https://www.iranjib.ir/shownews/139035/اختلاف-41-درصدی-قیمت-میوه-از-میدان-تا-بازار!/,1486,یکشنبه,25,آبان,1404,22,58,5
لبنیات ۵۰ تا ۶۰ درصد گران شد,https://www.iranjib.ir/shownews/139034/لبنیات-۵۰-تا-۶۰-درصد-گران-شد/,3392,یکشنبه,25,آبان,1404,22,32,27
پیش بینی نرخ تورم تا پایان سال,https://www.iranjib.ir/shownews/139033/پیش-بینی-نرخ-تورم-تا-پایان-سال/,5181,یکشنبه,25,آبان,1404,22,4,31
مقایسه میانگین مصرف آب ایرانیان و جهان,https://www.iranjib.ir/shownews/139032/مقایسه-میانگین-مصرف-آب-ایرانیان-و-جهان/,2496,یکشنبه,25,آبان,1404,21,38,37
اولین عملیات بارورسازی ابرها انجام شد,https://www.iranjib.ir/shownews/139031/اولین-عملیات-بارورسازی-ابرها-انجام-شد/,4005,یکشنبه,25,آبان,1404,20,59,22
مهلت 6ماهه بانک مرکزی به موسسه ملل,https://www.iranjib.ir/shownews/139030/مهلت-6ماهه-بانک-مرکزی-به-موسسه-ملل/,5910,یکشنبه,25,آبان,1404,20,32,24
1,https://www.iranjib.ir/jax/showarchive.php?p=1&_id=1,2,,3,,,0,0,0
تعرفه‌ خودروهای وارداتی چگونه محاسبه می شود؟,https://www.iranjib.ir/shownews/139029/تعرفه‌-خودروهای-وارداتی-چگونه-محاسبه-می-شود؟/,2995,یکشنبه,25,آبان,1404,20,6,4
جزئیات کیفیت اینترنت اعلام شد,https://www.iranjib.ir/shownews/139028/جزئیات-کیفیت-اینترنت-اعلام-شد/,1602,یکشنبه,25,آبان,1404,19,26,12
چند نفر در بورس فعالند؟,https://www.iranjib.ir/shownews/139027/چند-نفر-در-بورس-فعالند؟/,2447,یکشنبه,25,آبان,1404,18,52,11
سهمیه سوخت صنایع افزایش یافت,https://www.iranjib.ir/shownews/139026/سهمیه-سوخت-صنایع-افزایش-یافت/,417,یکشنبه,25,آبان,1404,18,18,6
نتایج قرعه‌کشی محصولات سایپا اعلام شد,https://www.iranjib.ir/shownews/139025/نتایج-قرعه‌کشی-محصولات-سایپا-اعلام-شد/,7916,یکشنبه,25,آبان,1404,17,33,3
لایحه بودجه سال 1405 کل کشور ابلاغ شد,https://www.iranjib.ir/shownews/139024/لایحه-بودجه-سال-1405-کل-کشور-ابلاغ-شد/,3013,یکشنبه,25,آبان,1404,16,58,48
اولین عملیات بارورسازی ابرها در ارومیه انجام شد,https://www.iranjib.ir/shownews/139023/اولین-عملیات-بارورسازی-ابرها-در-ارومیه-انجام-شد/,3558,یکشنبه,25,آبان,1404,16,52,17
حق بیمه شخص‌ثالث به رفتار رانندگی گره خواهد خورد,https://www.iranjib.ir/shownews/139021/حق-بیمه-شخص‌ثالث-به-رفتار-رانندگی-گره-خواهد-خورد/,2181,یکشنبه,25,آبان,1404,16,40,28
مسیر همکاری صنعت و دانشگاه با کیتونکست کرمان موتور,https://www.iranjib.ir/shownews/139022/مسیر-همکاری-صنعت-و-دانشگاه-با-کیتونکست-کرمان-موتور/,993,یکشنبه,25,آبان,1404,15,52,44
اعلام قیمت جدید برنج هندی و پاکستانی تنظیم‌بازاری,https://www.iranjib.ir/shownews/139020/اعلام-قیمت-جدید-برنج-هندی-و-پاکستانی-تنظیم‌بازاری/,3631,یکشنبه,25,آبان,1404,15,40,56
3 نرخی شدن بنزین؛ گامی دیر اما درست,https://www.iranjib.ir/shownews/139017/3-نرخی-شدن-بنزین؛-گامی-دیر-اما-درست/,5137,یکشنبه,25,آبان,1404,14,42,58
آخرین آمار از وضعیت ناترازی موسسه ملل,https://www.iranjib.ir/shownews/139016/آخرین-آمار-از-وضعیت-ناترازی-موسسه-ملل-/,1766,یکشنبه,25,آبان,1404,14,4,57
علاقه‌مندان به سرمایه‌گذاری در سپرده‌های بانکی بخوانند,https://www.iranjib.ir/shownews/139019/علاقه‌مندان-به-سرمایه‌گذاری-در-سپرده‌های-بانکی-بخوانند/,6689,یکشنبه,25,آبان,1404,13,41,52
شاخص بورس تهران، 34 هزار واحد تقویت شد,https://www.iranjib.ir/shownews/139018/شاخص-بورس-تهران،-34-هزار-واحد-تقویت-شد/,1820,یکشنبه,25,آبان,1404,13,14,27
قیمت سکه و طلا امروز یکشنبه 1404/08/25,https://www.iranjib.ir/shownews/139015/قیمت-سکه-و-طلا-امروز-یکشنبه-1404-08-25/,29529,یکشنبه,25,آبان,1404,12,59,28
یارانه و کالابرگ 1405 فقط به این افراد پرداخت می‌شود,https://www.iranjib.ir/shownews/139014/یارانه-و-کالابرگ-1405-فقط-به-این-افراد-پرداخت-می‌شود/,10219,یکشنبه,25,آبان,1404,12,37,7
قیمت جدید گوشی های موبایل سامسونگ 1404/08/25,https://www.iranjib.ir/shownews/139013/قیمت-جدید-گوشی-های-موبایل-سامسونگ-1404-08-25/,11138,یکشنبه,25,آبان,1404,12,11,48
شرایط جدید فروش تویوتا برقی در ایران (آبان 1404),https://www.iranjib.ir/shownews/139012/شرایط-جدید-فروش-تویوتا-برقی-در-ایران-(آبان-1404)/,11478,یکشنبه,25,آبان,1404,11,29,11
میانگین هر کیلووات برق سبز به 5500 تومان رسید,https://www.iranjib.ir/shownews/139011/میانگین-هر-کیلووات-برق-سبز-به-5500-تومان-رسید/,2106,یکشنبه,25,آبان,1404,11,21,36
بنزین سوپر از امروز در بورس انرژی عرضه خواهد شد,https://www.iranjib.ir/shownews/139010/بنزین-سوپر-از-امروز-در-بورس-انرژی-عرضه-خواهد-شد/,1658,یکشنبه,25,آبان,1404,10,32,20
آغاز پیش فروش بلیت‌ قطارهای مسافری آذرماه,https://www.iranjib.ir/shownews/139009/آغاز-پیش-فروش-بلیت‌-قطارهای-مسافری-آذرماه/,1374,یکشنبه,25,آبان,1404,9,52,50
افزایش 6 درصدی ترافیک پروازهای آسمان ایران,https://www.iranjib.ir/shownews/139008/افزایش-6-درصدی-ترافیک-پروازهای-آسمان-ایران/,1453,یکشنبه,25,آبان,1404,9,12,16
افزایش 40 تا 50 درصدی حقوق بازنشستگان با طرح جدید,https://www.iranjib.ir/shownews/139007/افزایش-40-تا-50-درصدی-حقوق-بازنشستگان-با-طرح-جدید/,9127,یکشنبه,25,آبان,1404,9,5,2
گران‌ترین و ارزان‌ترین قیمت برق و گاز در اروپا,https://www.iranjib.ir/shownews/139006/گران‌ترین-و-ارزان‌ترین-قیمت-برق-و-گاز-در-اروپا/,1501,یکشنبه,25,آبان,1404,9,1,57
عقبگرد صنعت خودرو به نفع مونتاژکاری,https://www.iranjib.ir/shownews/139005/عقبگرد-صنعت-خودرو-به-نفع-مونتاژکاری/,2158,یکشنبه,25,آبان,1404,8,2,4
چرا بلیت قطار یکدفعه گران شد؟,https://www.iranjib.ir/shownews/139004/چرا-بلیت-قطار-یکدفعه-گران-شد؟/,2164,یکشنبه,25,آبان,1404,7,53,32
پایان مرگبار بازی کودکانه,https://www.iranjib.ir/shownews/139003/پایان-مرگبار-بازی-کودکانه/,2074,یکشنبه,25,آبان,1404,7,47,47
سپاه، توقیف نفتکش متخلف را تأیید کرد,https://www.iranjib.ir/shownews/139002/سپاه،-توقیف-نفتکش-متخلف-را-تأیید-کرد/,2643,یکشنبه,25,آبان,1404,7,43,52
بارش برف، باران و مه‌گرفتگی در 5 استان تا فردا دوشنبه,https://www.iranjib.ir/shownews/139001/بارش-برف،-باران-و-مه‌گرفتگی-در-5-استان-تا-فردا-دوشنبه/,8660,یکشنبه,25,آبان,1404,7,35,19
بازی خطرناک اردوغان با آب,https://www.iranjib.ir/shownews/139000/بازی-خطرناک-اردوغان-با-آب/,8886,یکشنبه,25,آبان,1404,7,14,42
این موسسه اعتباری، پول حقوق کارمندانش را هم ندارد,https://www.iranjib.ir/shownews/138999/این-موسسه-اعتباری،-پول-حقوق-کارمندانش-را-هم-ندارد/,11648,یکشنبه,25,آبان,1404,7,8,1
نفع بیشتر مردم در اجرای بنزین به نفر است,https://www.iranjib.ir/shownews/138998/نفع-بیشتر-مردم-در-اجرای-بنزین-به-نفر-است/,1634,یکشنبه,25,آبان,1404,7,2,42
برنده جایزه 1 میلیارد دلاری «مگا میلیونز»,https://www.iranjib.ir/shownews/138997/برنده-جایزه-1-میلیارد-دلاری-«مگا-میلیونز»/,2169,یکشنبه,25,آبان,1404,6,56,8
هشدار برای شب عید,https://www.iranjib.ir/shownews/138996/هشدار-برای-شب-عید/,5420,یکشنبه,25,آبان,1404,6,52,0
ماهیگیری در آب گل آلود پایتخت!,https://www.iranjib.ir/shownews/138995/ماهیگیری-در-آب-گل-آلود-پایتخت!/,3302,شنبه,24,آبان,1404,22,33,20
حذف 3 صفر از نمایشگر جایگاه های سوخت,https://www.iranjib.ir/shownews/138994/حذف-3-صفر-از-نمایشگر-جایگاه-های-سوخت/,38803,شنبه,24,آبان,1404,22,7,16
افت شدید قدرت خرید خانوارها,https://www.iranjib.ir/shownews/138993/افت-شدید-قدرت-خرید-خانوارها/,2154,شنبه,24,آبان,1404,21,41,24
سرمایه‌گذاران خارجی چقدر سهام خریدند؟,https://www.iranjib.ir/shownews/138992/سرمایه‌گذاران-خارجی-چقدر-سهام-خریدند؟/,1940,شنبه,24,آبان,1404,20,55,20
متقاضیان سکه تا فردا شب مهلت دارند,https://www.iranjib.ir/shownews/138991/متقاضیان-سکه-تا-فردا-شب-مهلت-دارند/,6825,شنبه,24,آبان,1404,20,18,13
طرح ملی نوسازی موتورسیکلت ها آغاز شد,https://www.iranjib.ir/shownews/138988/طرح-ملی-نوسازی-موتورسیکلت-ها-آغاز-شد/,7375,شنبه,24,آبان,1404,19,49,8
هشدار سطح زرد هواشناسی!,https://www.iranjib.ir/shownews/138987/هشدار-سطح-زرد-هواشناسی!/,2929,شنبه,24,آبان,1404,19,15,32
بخشنامه جدید سازمان توسعه تجارت به خودروسازان,https://www.iranjib.ir/shownews/138986/بخشنامه-جدید-سازمان-توسعه-تجارت-به-خودروسازان/,2225,شنبه,24,آبان,1404,18,39,51
ایران پنجمین کشور طلایی جهان شد,https://www.iranjib.ir/shownews/138985/ایران-پنجمین-کشور-طلایی-جهان-شد/,13866,شنبه,24,آبان,1404,18,8,43
خودروهای ارزان‌قیمت از بازار حذف شدند,https://www.iranjib.ir/shownews/138984/خودروهای-ارزان‌قیمت-از-بازار-حذف-شدند/,5496,شنبه,24,آبان,1404,17,32,19
پیشتازی KMC J7 در بین سدان‌های کشور,https://www.iranjib.ir/shownews/138990/پیشتازی-KMC-J7-در-بین-سدان‌های-کشور/,9617,شنبه,24,آبان,1404,17,25,40
شرایط جدید فروش کاپرا اتوماتیک (آبان 1404),https://www.iranjib.ir/shownews/138989/شرایط-جدید-فروش-کاپرا-اتوماتیک-(آبان-1404)/,11743,شنبه,24,آبان,1404,17,20,6
بانک مرکزی پس از بانک آینده، سراغ مؤسسه ملل رفت,https://www.iranjib.ir/shownews/138983/بانک-مرکزی-پس-از-بانک-آینده،-سراغ-مؤسسه-ملل-رفت/,5598,شنبه,24,آبان,1404,15,54,17
فروش سبدی خودرو نیسان سیلفی (آبان 1404),https://www.iranjib.ir/shownews/138982/فروش-سبدی-خودرو-نیسان-سیلفی-(آبان-1404)/,12992,شنبه,24,آبان,1404,15,50,26
خبر امیدوارکننده برای کارمندان دولت,https://www.iranjib.ir/shownews/138980/خبر-امیدوارکننده-برای-کارمندان-دولت/,8532,شنبه,24,آبان,1404,15,10,32
زمان اجرای شیوه جدید کالابرگ اعلام شد,https://www.iranjib.ir/shownews/138979/زمان-اجرای-شیوه-جدید-کالابرگ-اعلام-شد/,4691,شنبه,24,آبان,1404,14,48,44
1,https://www.iranjib.ir/jax/showarchive.php?p=1&_id=1,2,,3,,,0,0,0
سقوط ارزش بیت کوین,https://www.iranjib.ir/shownews/138978/سقوط-ارزش-بیت-کوین/,2497,شنبه,24,آبان,1404,14,14,4
شاخص بورس تهران در اولین روز کاری هفته,https://www.iranjib.ir/shownews/138981/شاخص-بورس-تهران-در-اولین-روز-کاری-هفته/,2811,شنبه,24,آبان,1404,13,16,39
قیمت سکه و طلا امروز شنبه 1404/08/24,https://www.iranjib.ir/shownews/138977/قیمت-سکه-و-طلا-امروز-شنبه-1404-08-24/,32110,شنبه,24,آبان,1404,12,53,54
دلیل افزایش چک‌های برگشتی,https://www.iranjib.ir/shownews/138976/دلیل-افزایش-چک‌های-برگشتی/,13421,شنبه,24,آبان,1404,12,37,37
چطور بلیط کیش را ارزانتر از همیشه بخریم!؟,https://www.iranjib.ir/shownews/138975/چطور-بلیط-کیش-را-ارزانتر-از-همیشه-بخریم!؟/,940,شنبه,24,آبان,1404,12,26,37
20% تخفیف خرید اینترنت نامحدود | سرعت تا 1000 مگابیت بر ثانیه,https://www.iranjib.ir/shownews/138974/20%-تخفیف-خرید-اینترنت-نامحدود-|-سرعت-تا-1000-مگابیت-بر-ثانیه/,410,شنبه,24,آبان,1404,12,19,3
حقوق جایگزین مهریه,https://www.iranjib.ir/shownews/138973/حقوق-جایگزین-مهریه/,126136,شنبه,24,آبان,1404,11,55,34
امکان ورود سرمایه‌ خارجی‌ها با رمز ارز به ایران,https://www.iranjib.ir/shownews/138972/امکان-ورود-سرمایه‌-خارجی‌ها-با-رمز-ارز-به-ایران/,945,شنبه,24,آبان,1404,11,50,9
کاهش 40 درصدی صدور پروانه‌های ساختمانی در کشور,https://www.iranjib.ir/shownews/138971/کاهش-40-درصدی-صدور-پروانه‌های-ساختمانی-در-کشور/,2320,شنبه,24,آبان,1404,11,22,9
علت عقب‌نشینی شبانۀ ترامپ مشخص شد,https://www.iranjib.ir/shownews/138970/علت-عقب‌نشینی-شبانۀ-ترامپ-مشخص-شد/,7714,شنبه,24,آبان,1404,11,5,43
بازار مخزن آب دوباره داغ شد,https://www.iranjib.ir/shownews/138969/بازار-مخزن-آب-دوباره-داغ-شد/,3039,شنبه,24,آبان,1404,10,44,57
می‌دانستیم به مرحله صفر آبی می‌رسیم,https://www.iranjib.ir/shownews/138968/می‌دانستیم-به-مرحله-صفر-آبی-می‌رسیم/,3254,شنبه,24,آبان,1404,9,51,0
برنج پاکستانی با قیمت 66 هزار تومان,https://www.iranjib.ir/shownews/138967/برنج-پاکستانی-با-قیمت-66-هزار-تومان/,7646,شنبه,24,آبان,1404,9,42,51
مشخصات کامل خودرو اطلس S منتشر شد,https://www.iranjib.ir/shownews/138966/مشخصات-کامل-خودرو-اطلس-S-منتشر-شد/,11980,شنبه,24,آبان,1404,9,25,17
آب؛ اهرم فشار طالبان به ایران و پاکستان,https://www.iranjib.ir/shownews/138965/آب؛-اهرم-فشار-طالبان-به-ایران-و-پاکستان/,3070,شنبه,24,آبان,1404,9,13,57
تغییرات قیمت طلا در بازارهای جهانی,https://www.iranjib.ir/shownews/138964/تغییرات-قیمت-طلا-در-بازارهای-جهانی-/,3723,شنبه,24,آبان,1404,9,4,50
افزایش غیرمنتظره قیمت نفت,https://www.iranjib.ir/shownews/138963/افزایش-غیرمنتظره-قیمت-نفت/,1276,شنبه,24,آبان,1404,8,15,48
تعویض رایگان قطعه بخاری 206، 207 و رانا,https://www.iranjib.ir/shownews/138962/تعویض-رایگان-قطعه-بخاری-206،-207-و-رانا/,7281,شنبه,24,آبان,1404,8,12,21
پیش‌نویس یک قطعنامه ضد ایرانی در شورای حکام,https://www.iranjib.ir/shownews/138961/پیش‌نویس-یک-قطعنامه-ضد-ایرانی-در-شورای-حکام/,5367,شنبه,24,آبان,1404,8,4,14
بادبادک فروشی که جراح زیبایی شد,https://www.iranjib.ir/shownews/138960/بادبادک-فروشی-که-جراح-زیبایی-شد/,2222,شنبه,24,آبان,1404,7,57,55
کلاهبرداری های بزرگ از طریق لیزینگ خودرو,https://www.iranjib.ir/shownews/138959/کلاهبرداری-های-بزرگ-از-طریق-لیزینگ-خودرو/,1628,شنبه,24,آبان,1404,7,54,25
زمستان امسال متفاوت از سال‌های گذشته است,https://www.iranjib.ir/shownews/138958/زمستان-امسال-متفاوت-از-سال‌های-گذشته-است/,27153,شنبه,24,آبان,1404,7,48,28
دست شهرداری تهران از «منطقه‌ 22» کوتاه شد,https://www.iranjib.ir/shownews/138957/دست-شهرداری-تهران-از-«منطقه‌-22»-کوتاه-شد/,38860,شنبه,24,آبان,1404,7,36,51
بارش‌های جدید در 12 استان از امروز شنبه,https://www.iranjib.ir/shownews/138956/بارش‌های-جدید-در-12-استان-از-امروز-شنبه/,6524,شنبه,24,آبان,1404,7,9,29
چرا چندین نفتکش ایرانی موقعیت خود را لو دادند؟,https://www.iranjib.ir/shownews/138955/چرا-چندین-نفتکش-ایرانی-موقعیت-خود-را-لو-دادند؟/,4637,شنبه,24,آبان,1404,7,4,21
افزایش 40 همتی سقف اعتبار ایران‌خودرو و سایپا,https://www.iranjib.ir/shownews/138954/افزایش-40-همتی-سقف-اعتبار-ایران‌خودرو-و-سایپا/,1619,شنبه,24,آبان,1404,6,56,34
مدل جدید چت‌ GPT معرفی شد,https://www.iranjib.ir/shownews/138952/مدل-جدید-چت‌-GPT-معرفی-شد/,6392,جمعه,23,آبان,1404,20,31,44
مسکن به یک معضل ملی تبدیل شد,https://www.iranjib.ir/shownews/138951/مسکن-به-یک-معضل-ملی-تبدیل-شد/,4959,جمعه,23,آبان,1404,18,28,30
قیمت روز کالاهای اساسی در کشور منتشر شد 1404/08/23,https://www.iranjib.ir/shownews/138950/قیمت-روز-کالاهای-اساسی-در-کشور-منتشر-شد-1404-08-23/,2649,جمعه,23,آبان,1404,16,21,27
رزمایش اعلام وضعیت هشدار عمومی از طریق تلفن همراه,https://www.iranjib.ir/shownews/138949/رزمایش-اعلام-وضعیت-هشدار-عمومی-از-طریق-تلفن-همراه/,3771,جمعه,23,آبان,1404,14,19,7
راز شیار مرموز ساختمان مجلل فردوسی تهران,https://www.iranjib.ir/shownews/138948/راز-شیار-مرموز-ساختمان-مجلل-فردوسی-تهران/,9258,جمعه,23,آبان,1404,12,12,58
آغاز فرایند اسقاط موتورسیکلت‌های فرسوده از شنبه,https://www.iranjib.ir/shownews/138946/آغاز-فرایند-اسقاط-موتورسیکلت‌های-فرسوده-از-شنبه/,5860,جمعه,23,آبان,1404,10,5,0
تغییر بازی بازارها,https://www.iranjib.ir/shownews/138953/تغییر-بازی-بازارها/,6889,جمعه,23,آبان,1404,9,37,50
